WigleWifi-1.4,appRelease=2.25,model=Redmi 4A,release=6.0.1,device=rolex,display=MMB29M,board=QC_Reference_Phone,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
cc:b2:55:90:f5:99,Home,[WPA2-PSK-CCMP][ESS],2017-10-29 00:46:05,1,-38,32.10253144,35.19986089,645,32,WIFI
10:be:f5:3b:87:44,53434570,[WPA2-PSK-CCMP][ESS],2017-10-29 00:46:05,7,-60,32.10253144,35.19986089,645,32,WIFI
c4:12:f5:80:d4:68,dnipro,[WPA2-PSK-CCMP][ESS],2017-10-29 00:46:05,1,-76,32.10253144,35.19986089,645,32,WIFI
e0:ce:c3:1a:3d:ed,HOTBOX-3DE7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-29 00:46:05,11,-86,32.10253144,35.19986089,645,32,WIFI
32:cd:a7:ee:79:a9,DIRECT-04M2070 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS],2017-10-29 00:46:05,11,-83,32.10253144,35.19986089,645,32,WIFI
e8:cc:18:ed:d9:14,ariel heights,[WPA2-PSK-CCMP][ESS],2017-10-29 00:46:05,6,-83,32.10253144,35.19986089,645,32,WIFI
dc:4a:3e:c5:1f:15,DIRECT-E0-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 00:46:05,11,-81,32.10253144,35.19986089,645,32,WIFI
00:02:6f:8e:64:67,,[ESS],2017-10-29 00:46:05,1,-84,32.10253144,35.19986089,645,32,WIFI
42507_7213_5475842,HOT mobile,UNKNOWN;il,2017-10-29 00:46:05,0,-113,32.10253144,35.19986089,645,32,GSM
52:d1:c2:e9:d1:63,SETUP,[IBSS],2017-10-29 00:46:08,11,-87,32.10266181,35.19996291,661,19,WIFI
90:8d:78:52:78:4b,beni,[WPA2-PSK-CCMP][ESS],2017-10-29 00:46:29,1,-85,32.10260648,35.19992141,656,11,WIFI
cc:b2:55:90:f5:99,Home,[WPA2-PSK-CCMP][ESS],2017-10-29 00:48:06,1,-33,32.10252194,35.19984501,663,9,WIFI
dc:4a:3e:c5:1f:15,DIRECT-E0-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-29 18:09:41,11,-73,32.10251088,35.19986611,653,12,WIFI
14:af:db:c9:f7:6a,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 18:09:41,8,-87,32.10251088,35.19986611,653,12,WIFI
62:8d:78:52:78:48,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-29 18:09:41,1,-83,32.10251088,35.19986611,653,12,WIFI
90:8d:78:52:78:4b,beni,[WPA2-PSK-CCMP][ESS],2017-10-29 18:09:43,1,-84,32.1024614,35.19987051,655,14,WIFI
e0:ce:c3:1a:3d:ed,HOTBOX-3DE7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-29 18:09:54,11,-73,32.10245279,35.19994481,661,12,WIFI
cc:b2:55:90:f5:99,Home,[WPA2-PSK-CCMP][ESS],2017-10-29 18:09:55,1,-41,32.10245231,35.19994569,661,11,WIFI
