WigleWifi-1.4,appRelease=2.25,model=MI 4LTE,release=6.0.1,device=cancro,display=MMB29M,board=MSM8974,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:cc:ac,Ariel_University,[ESS],2017-10-30 17:26:09,44,-79,32.10443798,35.2062496,658,5,WIFI
1c:b9:c4:16:cc:a8,Ariel_University,[ESS],2017-10-30 17:26:09,6,-76,32.10443798,35.2062496,658,5,WIFI
1c:b9:c4:15:fd:6c,Ariel_University,[ESS],2017-10-30 17:26:09,52,-86,32.10443798,35.2062496,658,5,WIFI
1c:b9:c4:15:fd:68,Ariel_University,[ESS],2017-10-30 17:26:09,11,-80,32.10443798,35.2062496,658,5,WIFI
8c:0c:90:2f:cb:d8,Ariel_University,[ESS],2017-10-30 17:26:09,11,-76,32.10443798,35.2062496,658,5,WIFI
14:ae:db:53:3f:a5,bz300683,[WPA2-PSK-CCMP][ESS],2017-10-30 17:26:09,6,-72,32.10443798,35.2062496,658,5,WIFI
06:ae:db:53:3f:a5,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-30 17:26:09,6,-76,32.10443798,35.2062496,658,5,WIFI
1c:b9:c4:16:04:d8,Ariel_University,[ESS],2017-10-30 17:26:09,11,-77,32.10443798,35.2062496,658,5,WIFI
8c:0c:90:2e:0f:c8,Ariel_University,[ESS],2017-10-30 17:26:09,6,-77,32.10443798,35.2062496,658,5,WIFI
8c:0c:90:30:04:c8,Ariel_University,[ESS],2017-10-30 17:26:09,11,-81,32.10443798,35.2062496,658,5,WIFI
24:c9:a1:35:aa:b8,Ariel_University,[ESS],2017-10-30 17:26:09,1,-83,32.10443798,35.2062496,658,5,WIFI
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 17:26:09,0,-113,32.10443798,35.2062496,658,5,GSM
